epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0838,0.80564,2.31633,1.08879,0.50232,0.55369,0.55935,0.45491,0.6923,2.1949,0.93969,0.0003334,0.0003334,0.0003334
2,101.125,0.77251,1.49475,1.06376,0.49291,1,0.57664,0.46556,0.69929,1.40419,0.92105,0.000672193,0.000672193,0.000672193
3,148.786,0.82872,1.41096,1.07379,0.50765,0.84391,0.6367,0.51002,0.78384,1.46267,0.93136,0.000999433,0.000999433,0.000999433
4,202.55,0.82986,1.36433,1.05413,0.51107,0.92419,0.67811,0.56472,0.69541,1.56073,0.92477,0.00131512,0.00131512,0.00131512
5,252.634,0.84333,1.35874,1.05591,0.57284,0.95666,0.78278,0.6383,0.67424,1.69006,0.91459,0.00155698,0.00155698,0.00155698
6,1550.37,0.75435,1.29585,1.03676,0.6454,0.77619,0.7943,0.63101,0.73832,1.41039,0.93984,0.00152947,0.00152947,0.00152947
7,1596.64,0.81533,1.24556,1.05695,0.68148,0.72837,0.76804,0.63495,0.68181,1.61219,0.94659,0.00150197,0.00150197,0.00150197
8,1644.66,0.7549,1.17337,1.01085,0.61682,0.766,0.7598,0.55007,0.79036,1.87948,1.00052,0.00147446,0.00147446,0.00147446
9,1693.48,0.72186,1.09423,1.01446,0.61278,0.68721,0.72084,0.54647,0.72916,3.1115,0.94589,0.00144696,0.00144696,0.00144696
10,1742.83,0.74893,1.09354,1.01854,0.76067,0.8174,0.80297,0.65713,0.65454,1.17558,0.89319,0.00141945,0.00141945,0.00141945
11,1792.31,0.75501,1.11255,1.03157,0.66028,0.82564,0.73432,0.6018,0.6349,1.23499,0.87547,0.00139195,0.00139195,0.00139195
12,1842.38,0.73324,1.03315,0.99851,0.65812,0.85301,0.8515,0.70333,0.64039,1.38702,0.88979,0.00136444,0.00136444,0.00136444
13,1891.1,0.74845,1.05625,1.02643,0.76822,0.89333,0.91563,0.78747,0.5826,0.93439,0.88039,0.00133693,0.00133693,0.00133693
14,1939.87,0.68195,0.94145,0.99419,0.79114,0.81153,0.88658,0.74577,0.5872,1.01488,0.88977,0.00130943,0.00130943,0.00130943
15,1988.18,0.7008,0.98853,1.00458,0.83252,0.87082,0.92269,0.79706,0.55491,0.84015,0.87286,0.00128192,0.00128192,0.00128192
16,2036.53,0.70151,0.94592,1.00121,0.68732,0.89189,0.89792,0.79175,0.541,0.91228,0.8483,0.00125442,0.00125442,0.00125442
17,2084.91,0.6793,0.91547,0.97931,0.61547,0.82037,0.8411,0.71234,0.58771,1.46352,0.86787,0.00122691,0.00122691,0.00122691
18,2133.43,0.70244,0.92031,0.98388,0.89959,0.90013,0.94624,0.83157,0.55745,0.75447,0.85152,0.00119941,0.00119941,0.00119941
19,2181.97,0.70428,0.8963,1.00448,0.75741,0.96269,0.94563,0.83605,0.52372,0.77371,0.84189,0.0011719,0.0011719,0.0011719
20,2230.98,0.71259,0.85612,0.995,0.88568,0.86716,0.94234,0.81989,0.55962,0.7497,0.86213,0.0011444,0.0011444,0.0011444
